year_month,age_group,exposure_quartile,n_emp,n_hires,n_separations,hire_rate,separation_rate
2020-02,50+,3,386342,10015,10632,0.02592262813776395,0.02751965874794871
2020-02,50+,4,499160,12644,13351,0.025330555332959373,0.026746934850548923
2020-03,22-25,1,86302,7457,7999,0.08640587703645339,0.09268614864081945
2020-03,22-25,2,146490,13594,14461,0.0927981432179671,0.09871663594784627
2020-03,22-25,3,33594,3562,3708,0.10603083884026909,0.11037685300946598
2020-03,22-25,4,41885,4142,4027,0.09888981735704906,0.09614420436910588
2020-03,26-30,1,131290,8533,9202,0.06499352578261863,0.07008911569807297
2020-03,26-30,2,207002,14015,15196,0.06770465985835886,0.07340991874474642
2020-03,26-30,3,87846,5422,5427,0.061721649249823554,0.06177856703777065
2020-03,26-30,4,142166,7659,7219,0.053873640673578777,0.05077866719187429
2020-03,31-34,1,95704,5307,5650,0.05545222770208142,0.05903619493438101
2020-03,31-34,2,148453,8071,8858,0.054367375532996975,0.05966871669821425
2020-03,31-34,3,82425,3868,3963,0.04692750985744616,0.04808007279344859
2020-03,31-34,4,132700,5560,5411,0.041899020346646575,0.040776186887716656
2020-03,35-40,1,126290,6083,6632,0.04816691741230501,0.05251405495288621
2020-03,35-40,2,191741,8839,9624,0.04609864348261457,0.0501927078715559
2020-03,35-40,3,127804,4640,4801,0.036305592939188135,0.037565334418328065
2020-03,35-40,4,199666,6957,6743,0.03484318812416736,0.03377139823505254
2020-03,41-49,1,189586,7856,8764,0.04143765889886384,0.046227042081166334
2020-03,41-49,2,281532,10163,11767,0.03609891593140389,0.04179631445093275
2020-03,41-49,3,219776,6727,6890,0.030608437682003494,0.031350101921956905
2020-03,41-49,4,324944,9437,9315,0.029041927224383278,0.02866647791619479
2020-03,50+,1,397257,13330,15930,0.0335551041265478,0.040099985651605885
2020-03,50+,2,534511,16222,20502,0.03034923509525529,0.03835655393434373
2020-03,50+,3,389080,11090,12716,0.028503135601932763,0.03268222473527295
2020-03,50+,4,503700,15308,16385,0.030391105816954537,0.0325292833035537
2020-04,22-25,1,86501,7705,9139,0.08907411475011849,0.1056519577808349
2020-04,22-25,2,146084,13514,15262,0.09250841981325812,0.10447413816708195
2020-04,22-25,3,32895,2983,3710,0.09068247454020367,0.11278309773521812
2020-04,22-25,4,41739,3711,4287,0.08890965284266514,0.1027096959677999
2020-04,26-30,1,130899,8498,9859,0.06492028204951909,0.07531761128809235
