ssyk4,year_month,young,n_employed,pctl_rank_genai,exposure_quartile,high_exposure
1211,2024-01,0,6740,86.169998,Q4 (highest),1
1211,2024-01,1,15,86.169998,Q4 (highest),1
1211,2024-02,0,6718,86.169998,Q4 (highest),1
1211,2024-02,1,15,86.169998,Q4 (highest),1
1211,2024-03,0,6726,86.169998,Q4 (highest),1
1211,2024-03,1,15,86.169998,Q4 (highest),1
1211,2024-04,0,6709,86.169998,Q4 (highest),1
1211,2024-04,1,15,86.169998,Q4 (highest),1
1211,2024-05,0,6690,86.169998,Q4 (highest),1
1211,2024-05,1,15,86.169998,Q4 (highest),1
1211,2024-06,0,6687,86.169998,Q4 (highest),1
1211,2024-06,1,15,86.169998,Q4 (highest),1
1211,2024-07,0,6655,86.169998,Q4 (highest),1
1211,2024-07,1,14,86.169998,Q4 (highest),1
1211,2024-08,0,6614,86.169998,Q4 (highest),1
1211,2024-08,1,14,86.169998,Q4 (highest),1
1211,2024-09,0,6629,86.169998,Q4 (highest),1
1211,2024-09,1,14,86.169998,Q4 (highest),1
1211,2024-10,0,6620,86.169998,Q4 (highest),1
1211,2024-10,1,14,86.169998,Q4 (highest),1
1211,2024-11,0,6602,86.169998,Q4 (highest),1
1211,2024-11,1,14,86.169998,Q4 (highest),1
1211,2024-12,0,6615,86.169998,Q4 (highest),1
1211,2024-12,1,14,86.169998,Q4 (highest),1
1211,2025-01,0,6558,86.169998,Q4 (highest),1
1211,2025-01,1,6,86.169998,Q4 (highest),1
1211,2025-02,0,6550,86.169998,Q4 (highest),1
1211,2025-02,1,6,86.169998,Q4 (highest),1
1211,2025-03,0,6566,86.169998,Q4 (highest),1
1211,2025-03,1,6,86.169998,Q4 (highest),1
1211,2025-04,0,6553,86.169998,Q4 (highest),1
1211,2025-04,1,6,86.169998,Q4 (highest),1
1211,2025-05,0,6545,86.169998,Q4 (highest),1
1211,2025-05,1,6,86.169998,Q4 (highest),1
1211,2025-06,0,6539,86.169998,Q4 (highest),1
