dm,mcl,beta_artificial,erases_headline
0.045,0.175,-0.238415831148863,True
0.045,0.18,-0.244494877225245,True
0.045,0.185,-0.2506111042426812,True
0.045,0.19,-0.2567649698170593,True
0.045,0.195,-0.2629569400649806,True
0.045,0.2,-0.2691874898156165,True
0.05,0.0,-0.0512932943875505,False
0.05,0.005,-0.0563058362110948,False
0.05,0.01,-0.0613436302410519,False
0.05,0.015,-0.0664069321975987,False
0.05,0.02,-0.07149600170507,False
0.05,0.025,-0.0766111023718405,False
0.05,0.03,-0.081752501872259,False
0.05,0.035,-0.0869204720307017,False
0.05,0.04,-0.0921152889078057,False
0.05,0.045,-0.0973372328889574,False
0.05,0.05,-0.1025865887751011,False
0.05,0.055,-0.1078636458759449,False
0.05,0.06,-0.1131686981056381,False
0.05,0.065,-0.1185020440810006,False
0.05,0.07,-0.123863987222386,False
0.05,0.075,-0.1292548358572623,False
0.05,0.08,-0.1346749033266016,False
0.05,0.085,-0.1401245080941663,False
0.05,0.09,-0.1456039738587919,False
0.05,0.095,-0.1511136296697614,False
0.05,0.1,-0.1566538100453768,False
0.05,0.105,-0.1622248550948322,False
0.05,0.11,-0.1678271106435021,False
0.05,0.115,-0.173460928361758,False
0.05,0.12,-0.1791266658974354,True
0.05,0.125,-0.1848246870120732,True
0.05,0.13,-0.1905553617210581,True
0.05,0.135,-0.1963190664378082,True
0.05,0.14,-0.2021161841221342,True
0.05,0.145,-0.2079471044329274,True
0.05,0.15,-0.2138122238853254,True
0.05,0.155,-0.2197119460125138,True
0.05,0.16,-0.2256466815323283,True
0.05,0.165,-0.2316168485188322,True
0.05,0.17,-0.237622872579044,True
0.05,0.175,-0.2436651870350066,True
0.05,0.18,-0.2497442331113887,True
0.05,0.185,-0.255860460128825,True
0.05,0.19,-0.2620143257032032,True
0.05,0.195,-0.2682062959511243,True
0.05,0.2,-0.2744368457017603,True
0.055,0.0,-0.0565703514883943,False
0.055,0.005,-0.0615828933119386,False
0.055,0.01,-0.0666206873418957,False
0.055,0.015,-0.0716839892984425,False
0.055,0.02,-0.0767730588059138,False
0.055,0.025,-0.0818881594726842,False
0.055,0.03,-0.0870295589731028,False
0.055,0.035,-0.0921975291315455,False
0.055,0.04,-0.0973923460086495,False
0.055,0.045,-0.1026142899898012,False
0.055,0.05,-0.1078636458759449,False
0.055,0.055,-0.1131407029767886,False
0.055,0.06,-0.1184457552064819,False
0.055,0.065,-0.1237791011818443,False
