year_month,age_group,exposure_quartile,n_emp,share_of_coded
2020-04,35-40,3,127444,0.1980346332185522
2020-04,35-40,4,199431,0.3098948945215867
2020-04,41-49,1,188707,0.1864275503419687
2020-04,41-49,2,280012,0.2766296492782745
2020-04,41-49,3,219201,0.2165532039749977
2020-04,41-49,4,324307,0.320389596404759
2020-04,50+,1,395231,0.2180672656057319
2020-04,50+,2,530016,0.2924343987371629
2020-04,50+,3,386673,0.2133454202569262
2020-04,50+,4,500507,0.2761529154001789
2020-05,22-25,1,83076,0.2801520204762274
2020-05,22-25,2,141721,0.4779169013182077
2020-05,22-25,3,31415,0.105938847841262
2020-05,22-25,4,40327,0.1359922303643028
2020-05,26-30,1,127562,0.2301275459580379
2020-05,26-30,2,201393,0.363321967851924
2020-05,26-30,3,85350,0.1539752124262596
2020-05,26-30,4,140005,0.2525752737637784
2020-05,31-34,1,93322,0.2069292770269521
2020-05,31-34,2,145317,0.3222213599121922
2020-05,31-34,3,80811,0.1791877778640087
2020-05,31-34,4,131535,0.2916615851968469
2020-05,35-40,1,123335,0.1940337016252987
2020-05,35-40,2,187993,0.2957552817095292
2020-05,35-40,3,126021,0.1982593838936374
2020-05,35-40,4,198288,0.3119516327715347
2020-05,41-49,1,185226,0.1850086148775189
2020-05,41-49,2,276247,0.2759227907209029
2020-05,41-49,3,217053,0.2167982620421005
2020-05,41-49,4,322649,0.3222703323594776
2020-05,50+,1,387095,0.2170620488095919
2020-05,50+,2,518886,0.2909633507501102
2020-05,50+,3,381341,0.2138355151967826
2020-05,50+,4,496016,0.2781390852435152
2020-06,22-25,1,87002,0.2793171975176656
2020-06,22-25,2,147764,0.4743916964437638
2020-06,22-25,3,33769,0.1084143174061981
2020-06,22-25,4,42946,0.1378767886323724
2020-06,26-30,1,130520,0.2301668056861006
2020-06,26-30,2,206214,0.3636501506876612
2020-06,26-30,3,87670,0.1546025425566996
2020-06,26-30,4,142663,0.2515805010695385
2020-06,31-34,1,94902,0.2071539739327647
2020-06,31-34,2,147614,0.3222147763810156
2020-06,31-34,3,82024,0.179043619290016
2020-06,31-34,4,133583,0.2915876303962036
2020-06,35-40,1,124841,0.1938681384211147
2020-06,35-40,2,190594,0.2959773149384733
2020-06,35-40,3,127673,0.1982660090566319
2020-06,35-40,4,200840,0.31188853758378
2020-06,41-49,1,187116,0.1843135130343132
2020-06,41-49,2,280222,0.2760250392777813
2020-06,41-49,3,219986,0.2166912101496742
2020-06,41-49,4,327881,0.3229702375382312
2020-06,50+,1,392174,0.2164933372270123
2020-06,50+,2,525814,0.2902671457584752
2020-06,50+,3,387728,0.2140389945696426
2020-06,50+,4,505767,0.2792005224448697
2020-07,22-25,1,90945,0.278198386697134
2020-07,22-25,2,156569,0.4789404937795765
2020-07,22-25,3,34854,0.1066174783654066
2020-07,22-25,4,44539,0.1362436411578828
2020-07,26-30,1,130959,0.2317169408034425
2020-07,26-30,2,207584,0.3672960960280836
2020-07,26-30,3,86211,0.1525404835376383
2020-07,26-30,4,140414,0.2484464796308354
2020-07,31-34,1,94106,0.2088376407511462
2020-07,31-34,2,146545,0.3252089352844316
2020-07,31-34,3,79980,0.1774895809754603
2020-07,31-34,4,129987,0.2884638429889618
2020-07,35-40,1,123411,0.1955930505675496
2020-07,35-40,2,188014,0.2979817991054872
2020-07,35-40,3,124336,0.1970590752474808
2020-07,35-40,4,195197,0.3093660750794823
2020-07,41-49,1,184945,0.1863373123982396
2020-07,41-49,2,274970,0.2770400432028114
2020-07,41-49,3,214238,0.2158508374574823
2020-07,41-49,4,318375,0.3207718069414666
2020-07,50+,1,383800,0.2178926296881262
2020-07,50+,2,512845,0.2911546265565584
2020-07,50+,3,376169,0.2135603246929462
2020-07,50+,4,488604,0.277392419062369
2020-08,22-25,1,91524,0.2800123601452623
2020-08,22-25,2,155580,0.4759879702744625
2020-08,22-25,3,34771,0.1063798541869992
2020-08,22-25,4,44982,0.1376198153932759
2020-08,26-30,1,130985,0.2313490963105307
2020-08,26-30,2,206666,0.3650188367989628
2020-08,26-30,3,86795,0.1532995748694317
2020-08,26-30,4,141733,0.2503324920210746
2020-08,31-34,1,93975,0.2086089628044503
2020-08,31-34,2,145639,0.3232945010255636
2020-08,31-34,3,80326,0.1783104394384706
2020-08,31-34,4,130544,0.2897860967315154
2020-08,35-40,1,122772,0.1950539062574472
2020-08,35-40,2,186787,0.2967576808075929
2020-08,35-40,3,124599,0.1979565508892228
2020-08,35-40,4,195268,0.3102318620457369
2020-08,41-49,1,183904,0.1861534786358354
2020-08,41-49,2,273009,0.2763483939930115
2020-08,41-49,3,213724,0.2163382311856473
2020-08,41-49,4,317279,0.3211598961855056
2020-08,50+,1,378246,0.2179343579957547
2020-08,50+,2,506195,0.291654855162146
2020-08,50+,3,370199,0.2132979103431904
2020-08,50+,4,480956,0.2771128764989087
2020-09,22-25,1,92682,0.2783402055973163
2020-09,22-25,2,158002,0.4745075544850907
2020-09,22-25,3,35967,0.1080151720368429
2020-09,22-25,4,46330,0.1391370678807499
2020-09,26-30,1,132504,0.2301859325028359
2020-09,26-30,2,210305,0.3653418201337991
2020-09,26-30,3,88680,0.1540548850929141
2020-09,26-30,4,144150,0.2504173622704507
2020-09,31-34,1,95518,0.2084726526692566
2020-09,31-34,2,148507,0.3241237068401065
2020-09,31-34,3,81719,0.1783556680780479
2020-09,31-34,4,132436,0.2890479724125889
2020-09,35-40,1,124506,0.1951504702194357
2020-09,35-40,2,189653,0.2972617554858934
2020-09,35-40,3,126361,0.1980579937304075
2020-09,35-40,4,197480,0.3095297805642633
2020-09,41-49,1,186586,0.1864569717755313
2020-09,41-49,2,277016,0.2768244374892574
2020-09,41-49,3,216513,0.2163632766125841
2020-09,41-49,4,320577,0.3203553141226271
2020-09,50+,1,383539,0.2179378414698938
2020-09,50+,2,512649,0.2913018402084262
2020-09,50+,3,376408,0.213885803091732
2020-09,50+,4,487259,0.2768745152299479
2020-10,22-25,1,86174,0.2793222932083459
2020-10,22-25,2,145015,0.4700480695988149
2020-10,22-25,3,33461,0.1084596659438399
2020-10,22-25,4,43861,0.1421699712489992
2020-10,26-30,1,129558,0.2300394709507651
2020-10,26-30,2,204208,0.3625858710686631
2020-10,26-30,3,87138,0.1547197349427111
2020-10,26-30,4,142295,0.2526549230378605
2020-10,31-34,1,94542,0.2082441254989031
2020-10,31-34,2,146430,0.3225358813734041
2020-10,31-34,3,81322,0.1791249262108036
2020-10,31-34,4,131702,0.2900950669168891
2020-10,35-40,1,124745,0.1953952232372216
2020-10,35-40,2,189315,0.2965349047028307
2020-10,35-40,3,126547,0.1982177988296179
2020-10,35-40,4,197817,0.3098520732303297
2020-10,41-49,1,186898,0.1862572749740891
2020-10,41-49,2,277231,0.2762805947540461
2020-10,41-49,3,217146,0.2164015785697201
2020-10,41-49,4,322165,0.3210605517021446
2020-10,50+,1,384035,0.2171388346248335
2020-10,50+,2,513796,0.2905075440386969
2020-10,50+,3,379038,0.2143134599672625
2020-10,50+,4,491746,0.2780401613692069
2020-11,22-25,1,86143,0.279213665240503
2020-11,22-25,2,145156,0.4704913781926617
2020-11,22-25,3,33433,0.1083657461428756
2020-11,22-25,4,43788,0.1419292104239595
2020-11,26-30,1,129508,0.2298139952513956
2020-11,26-30,2,204258,0.362459053047376
2020-11,26-30,3,87400,0.1550926829614539
2020-11,26-30,4,142368,0.2526342687397743
2020-11,31-34,1,94652,0.2080652429574755
2020-11,31-34,2,146743,0.3225723486805227
2020-11,31-34,3,81604,0.1793829616521768
2020-11,31-34,4,131916,0.2899794467098249
2020-11,35-40,1,124746,0.1949512645280465
2020-11,35-40,2,189852,0.2966979901013154
