grp,expband,fresh,n,ws,wh
53I,6-10,1,10112.0,336572.11141837,1271.0
53I,na,0,10207.0,343490.55056370003,939.0
53I,na,1,16799.0,545375.17069267,1457.0
53R,0-2,0,517.0,10997.72004515,0.0
53R,0-2,1,1882.0,39672.05019459,26.0
53R,11-20,0,2054.0,45174.42020336,24.0
53R,11-20,1,3705.0,98231.32034903,161.0
53R,21+,0,5645.0,187296.6506913,408.0
53R,21+,1,10238.0,356388.12082717,927.0
53R,3-5,0,817.0,15320.19006358,6.0
53R,3-5,1,1730.0,36702.40017415,24.0
53R,6-10,0,1747.0,36471.51021086,17.0
53R,6-10,1,3174.0,75343.9902735,84.0
53R,na,0,59.0,1609.880025,0.0
53R,na,1,144.0,3916.38999486,0.0
54P,0-2,0,17999.0,819461.77650904,3474.0
54P,0-2,1,19152.0,1138512.47651217,7022.0
54P,11-20,0,7567.0,562169.64280104,4260.0
54P,11-20,1,15831.0,1115526.3719513,8121.0
54P,21+,0,3787.0,277852.84128852,2005.0
54P,21+,1,8427.0,607449.16125792,4573.0
54P,3-5,0,2420.0,171815.1811998,1325.0
54P,3-5,1,5508.0,388882.6518004,2969.0
54P,6-10,0,4029.0,299133.461736,2329.0
54P,6-10,1,8182.0,570163.1116064601,4207.0
55A,0-2,0,235.0,17360.7497137,156.0
