ssyk1,age_group,code_age,ssyk_status,n,year
6,30-49,0,1,7670.0,2019
1,30-49,2,5,2120.0,2019
4,50+,4,2,107.0,2019
5,22-29,-1,2,233.0,2019
1,50+,5,2,125.0,2019
7,30-49,3,2,127.0,2019
3,50+,5,4,64.0,2019
3,22-29,2,1,2129.0,2019
3,22-29,1,1,7119.0,2019
5,30-49,1,1,27748.0,2019
6,50+,1,3,576.0,2019
7,50+,4,1,5343.0,2019
4,30-49,5,4,43.0,2019
4,50+,3,4,45.0,2019
7,30-49,-1,4,116.0,2019
7,22-29,3,1,2264.0,2019
2,22-29,-1,1,2854.0,2019
7,50+,0,1,77510.0,2019
4,50+,1,3,55.0,2019
5,30-49,-1,1,4980.0,2019
2,30-49,0,3,824.0,2019
9,30-49,1,1,10236.0,2019
4,30-49,-1,2,77.0,2019
6,50+,4,2,25.0,2019
8,50+,4,4,100.0,2019
0,22-29,2,3,,2019
8,50+,0,1,82401.0,2019
4,30-49,4,1,1864.0,2019
3,30-49,1,5,4427.0,2019
1,30-49,3,2,73.0,2019
3,30-49,0,13,1714.0,2019
2,50+,5,2,117.0,2019
4,50+,2,3,38.0,2019
4,50+,0,5,420.0,2019
2,22-29,0,12,121.0,2019
1,50+,2,5,3857.0,2019
6,50+,3,4,5.0,2019
5,30-49,0,13,3463.0,2019
0,22-29,5,1,51.0,2019
2,50+,3,1,7624.0,2019
1,30-49,1,4,1238.0,2019
5,50+,-1,3,15.0,2019
8,30-49,4,5,2603.0,2019
5,22-29,5,4,95.0,2019
0,30-49,1,3,,2019
1,30-49,4,5,1739.0,2019
8,50+,1,4,524.0,2019
0,22-29,3,1,298.0,2019
5,50+,5,3,29.0,2019
4,22-29,-1,2,67.0,2019
1,22-29,5,4,,2019
4,30-49,5,5,2220.0,2019
8,30-49,0,4,269.0,2019
0,30-49,3,4,17.0,2019
2,22-29,0,5,963.0,2019
2,50+,-1,2,96.0,2019
6,22-29,-1,4,11.0,2019
5,50+,5,5,10026.0,2019
8,22-29,4,1,753.0,2019
4,50+,-1,1,2501.0,2019
6,22-29,5,3,,2019
1,22-29,3,4,5.0,2019
9,22-29,5,2,14.0,2019
1,50+,4,2,172.0,2019
2,30-49,1,5,6324.0,2019
7,22-29,0,14,423.0,2019
0,30-49,4,4,,2019
8,30-49,1,3,59.0,2019
0,30-49,5,1,102.0,2019
5,30-49,2,5,11159.0,2019
8,50+,5,1,1327.0,2019
2,30-49,3,3,46.0,2019
4,50+,5,1,1569.0,2019
7,30-49,0,13,3106.0,2019
2,22-29,2,4,211.0,2019
2,30-49,2,3,68.0,2019
5,30-49,3,5,8195.0,2019
3,50+,1,2,1613.0,2019
8,22-29,2,4,174.0,2019
0,50+,3,1,162.0,2019
9,22-29,3,4,88.0,2019
8,30-49,4,4,90.0,2019
8,50+,5,5,4630.0,2019
4,22-29,4,1,487.0,2019
6,50+,0,3,33.0,2019
7,50+,5,2,78.0,2019
1,22-29,5,5,42.0,2019
