inr,expband,fresh,n,ws,wh
215z,21+,1,50.0,2504.9300000000003,9.0
215z,3-5,0,88.0,3332.1600391,6.0
215z,3-5,1,114.0,4342.7000294,8.0
215z,6-10,0,145.0,6621.520067,28.0
215z,6-10,1,222.0,10205.40999,47.0
219z,0-2,0,1442.0,68496.2305606,293.0
219z,0-2,1,1360.0,75722.81042750001,398.0
219z,11-20,0,1368.0,82761.3203639,558.0
219z,11-20,1,2319.0,139421.8002997,905.0
219z,21+,0,658.0,36745.3301219,240.0
219z,21+,1,1094.0,61480.6000088,382.0
219z,3-5,0,565.0,31351.1902075,179.0
219z,3-5,1,694.0,43546.7002432,294.0
219z,6-10,0,978.0,58289.5803052,354.0
219z,6-10,1,1479.0,93084.8004495,623.0
219z,na,0,343.0,14944.2800192,79.0
219z,na,1,581.0,26405.679899,108.0
220z,0-2,0,36.0,1167.9200029,5.0
220z,0-2,1,17.0,668.730018,0.0
220z,na,0,56.0,1179.2000044,0.0
220z,na,1,73.0,2382.2400165,0.0
221a,0-2,0,95.0,4818.760021,12.0
221a,0-2,1,275.0,16689.480208999998,30.0
221a,11-20,0,173.0,11112.150151,19.0
221a,11-20,1,982.0,62197.94072599999,96.0
221a,21+,0,863.0,53821.270778,25.0
221a,21+,1,1378.0,86526.041194,95.0
221a,3-5,0,38.0,2030.500031,0.0
221a,3-5,1,256.0,15877.210120999998,49.0
221a,6-10,0,59.0,3914.420054,7.0
221a,6-10,1,437.0,28504.750286,77.0
221a,na,0,15.0,934.350015,0.0
221b,0-2,1,129.0,6763.4000080000005,0.0
221b,11-20,0,17.0,973.880008,0.0
221b,11-20,1,143.0,8466.180114,0.0
221b,21+,0,297.0,15307.230042,21.0
221b,21+,1,340.0,18350.350072,18.0
221b,3-5,1,76.0,4148.1400140000005,0.0
221b,6-10,0,11.0,637.940006,0.0
221b,6-10,1,54.0,3146.310031,0.0
221x,0-2,0,114.0,4491.5499952,10.0
221x,0-2,1,130.0,5197.929978,13.0
221x,11-20,0,83.0,5302.309985,29.0
221x,11-20,1,260.0,16051.0199174,96.0
221x,21+,0,148.0,9379.420114,54.0
221x,21+,1,137.0,9562.980067,54.0
221x,3-5,1,17.0,861.580017,0.0
221x,6-10,1,63.0,4471.05994,32.0
221x,na,0,38.0,2104.620035,0.0
221x,na,1,23.0,1432.670023,0.0
222a,0-2,0,12.0,418.460009,0.0
222a,0-2,1,46.0,3914.720069,36.0
222a,11-20,0,40.0,3605.0201,34.0
222a,11-20,1,204.0,17755.700056,186.0
222a,21+,0,27.0,2478.890067,27.0
222a,21+,1,42.0,3747.090031,37.0
222a,3-5,1,88.0,7594.920063,82.0
222a,6-10,0,35.0,2946.9500310000003,27.0
222a,6-10,1,100.0,8366.039985,89.0
222b,0-2,0,32.0,2289.390044,17.0
222b,0-2,1,102.0,8178.840091,80.0
222b,11-20,0,324.0,20300.6100797,133.0
222b,11-20,1,1051.0,72783.8601812,545.0
222b,21+,0,543.0,39673.5502334,303.0
222b,21+,1,865.0,61453.7002638,489.0
222b,3-5,0,28.0,1594.5900155000002,13.0
222b,3-5,1,147.0,11754.360066,113.0
222b,6-10,0,177.0,10356.310073,59.0
222b,6-10,1,529.0,36576.530121,256.0
222c,11-20,1,101.0,8207.489982,75.0
222c,21+,0,34.0,2768.360012,24.0
222c,21+,1,69.0,5433.730033,53.0
222c,6-10,1,46.0,3770.939992,38.0
222d,0-2,1,11.0,886.6700020000001,11.0
222d,11-20,0,23.0,1913.589998,16.0
222d,11-20,1,127.0,10173.009956,96.0
222d,21+,0,70.0,5456.590041,48.0
222d,21+,1,148.0,11343.120113,99.0
222d,6-10,1,30.0,2565.979987,30.0
222e,11-20,1,44.0,3392.679936,34.0
222e,21+,1,24.0,1975.690031,19.0
222e,3-5,1,13.0,976.709981,8.0
222e,6-10,1,32.0,2595.2799910000003,26.0
222f,11-20,1,12.0,1000.239984,12.0
222f,21+,1,22.0,1723.389987,17.0
222h,11-20,0,25.0,1825.170014,13.0
222h,11-20,1,90.0,6118.699986,38.0
222h,21+,0,10.0,399.55,0.0
222h,21+,1,52.0,3048.489979,15.0
222h,6-10,0,13.0,936.769997,7.0
222h,6-10,1,59.0,4095.429975,32.0
222k,0-2,0,55.0,4220.65016,43.0
222k,0-2,1,114.0,6858.390197,59.0
222k,11-20,0,21.0,1584.810036,15.0
222k,11-20,1,71.0,5967.710134,71.0
222k,21+,0,26.0,2075.260044,21.0
222k,21+,1,48.0,3427.5200440000003,35.0
222k,3-5,0,120.0,8749.530322999999,82.0
222k,3-5,1,160.0,10305.870279,97.0
222k,6-10,0,52.0,4440.120173,52.0
