ssyk4,pctl_rank_genai,pctl_rank_allapps,exposure_quartile,high_exposure
3114,50.240002,62.290001,Q3,0
3115,53.779999,62.77,Q3,0
3116,59.93,76.0,Q3,0
3117,93.739998,95.389999,Q4 (highest),1
3119,53.549999,62.529999,Q3,0
3121,30.85,12.65,Q2,0
3122,35.580002,30.610001,Q2,0
3151,39.599998,43.380001,Q2,0
3152,33.689999,34.16,Q2,0
3153,27.540001,30.85,Q2,0
3154,55.200001,63.240002,Q3,0
3155,66.550003,84.040001,Q3,0
3211,38.889999,40.779999,Q2,0
3212,50.950001,66.080002,Q3,0
3213,49.049999,59.459999,Q2,0
3214,46.93,54.959999,Q2,0
3215,54.02,63.950001,Q3,0
3230,41.25,41.490002,Q2,0
3240,29.67,34.630001,Q2,0
3250,28.01,29.43,Q2,0
3311,91.839996,90.190002,Q4 (highest),1
3312,77.900002,78.129997,Q4 (highest),1
3313,88.529999,95.150002,Q4 (highest),1
3314,82.150002,89.480003,Q4 (highest),1
3321,87.589996,86.169998,Q4 (highest),1
3322,71.510002,64.18,Q3,0
3323,76.709999,76.949997,Q4 (highest),1
3324,83.330002,79.790001,Q4 (highest),1
3331,70.800003,74.589996,Q3,0
3332,80.019997,77.190002,Q4 (highest),1
3333,59.220001,63.709999,Q3,0
3334,71.989998,68.910004,Q3,0
3335,72.220001,69.150002,Q3,0
3339,83.57,80.019997,Q4 (highest),1
3341,69.860001,77.660004,Q3,0
3342,82.389999,89.720001,Q4 (highest),1
3343,73.400002,86.879997,Q3,0
3351,33.220001,15.25,Q2,0
3352,90.660004,93.739998,Q4 (highest),1
3353,73.169998,79.080002,Q3,0
3354,54.73,65.129997,Q3,0
3355,57.57,71.75,Q3,0
3359,70.330002,80.730003,Q3,0
3360,31.559999,23.290001,Q2,0
3411,46.220001,38.419998,Q2,0
3421,0.12,0.34999999,Q1 (lowest),0
3422,40.310001,18.790001,Q2,0
3423,41.73,21.389999,Q2,0
3424,39.830002,17.85,Q2,0
3431,51.419998,67.730003,Q3,0
3432,61.349998,54.490002,Q3,0
3433,50.709999,54.02,Q3,0
3439,67.489998,76.239998,Q3,0
3441,60.639999,59.220001,Q3,0
3449,71.040001,63.0,Q3,0
3451,31.09,8.6300001,Q2,0
3452,31.32,8.8699999,Q2,0
3511,75.529999,87.830002,Q4 (highest),1
3512,66.309998,75.769997,Q3,0
3513,94.68,96.339996,Q4 (highest),1
3514,84.519997,91.129997,Q4 (highest),1
3515,92.550003,94.209999,Q4 (highest),1
3521,51.650002,71.040001,Q3,0
3522,47.639999,58.27,Q2,0
4111,92.32,97.519997,Q4 (highest),1
4112,96.339996,98.230003,Q4 (highest),1
4113,86.879997,93.029999,Q4 (highest),1
4114,84.989998,88.059998,Q4 (highest),1
4115,79.080002,84.279999,Q4 (highest),1
4116,88.059998,92.790001,Q4 (highest),1
4117,80.5,89.949997,Q4 (highest),1
4119,90.43,94.68,Q4 (highest),1
