year,unit,age_band,metric,n,share,value
2017,incumbents,50+,scored_four_only,12016.0,0.9971784232365145,
2017,incumbents,50+,unscored_four_only,34.0,0.002821576763485477,
2017,incumbents,50+,incumbents,12050.0,1.0,
2017,incumbents,total,resolved,28001.0,0.9997857678437534,
2017,incumbents,total,four_digit_available,27932.0,0.9973220980469168,
2017,incumbents,total,three_digit_available,28001.0,0.9997857678437534,
2017,incumbents,total,scored_four_digit,27932.0,0.9973220980469168,
2017,incumbents,total,scored_three_digit,69.0,0.002463669796836505,
2017,incumbents,total,unscored,6.0,0.00021423215624665262,
2017,incumbents,total,scored_uniform3,28001.0,0.9997857678437534,
2017,incumbents,total,unscored_uniform3,6.0,0.00021423215624665262,
2017,incumbents,total,scored_mixed43,28001.0,0.9997857678437534,
2017,incumbents,total,unscored_mixed43,6.0,0.00021423215624665262,
2017,incumbents,total,scored_four_only,27932.0,0.9973220980469168,
2017,incumbents,total,unscored_four_only,75.0,0.002677901953083158,
2017,incumbents,total,incumbents,28007.0,1.0,
2017,employers,total,resolved,18179.0,0.9997250329960404,
2017,employers,total,four_digit_available,18139.0,0.9975252969643643,
2017,employers,total,three_digit_available,18181.0,0.9998350197976242,
2017,employers,total,scored_uniform3,18181.0,0.9998350197976242,
2017,employers,total,scored_mixed43,18181.0,0.9998350197976242,
2017,employers,total,scored_four_only,18139.0,0.9975252969643643,
2017,employers,total,employers,18184.0,1.0,
2016,incumbents,31-34,resolved,2299.0,1.0,
2016,incumbents,31-34,four_digit_available,2297.0,0.9991300565463245,
2016,incumbents,31-34,three_digit_available,2297.0,0.9991300565463245,
2016,incumbents,31-34,scored_four_digit,2297.0,0.9991300565463245,
2016,incumbents,31-34,scored_three_digit,0.0,0.0,
2016,incumbents,31-34,unscored,,,
2016,incumbents,31-34,scored_uniform3,2297.0,0.9991300565463245,
2016,incumbents,31-34,unscored_uniform3,,,
2016,incumbents,31-34,scored_mixed43,2297.0,0.9991300565463245,
2016,incumbents,31-34,unscored_mixed43,,,
2016,incumbents,31-34,scored_four_only,2297.0,0.9991300565463245,
2016,incumbents,31-34,unscored_four_only,,,
2016,incumbents,31-34,incumbents,2299.0,1.0,
2016,incumbents,35-40,resolved,3019.0,0.9996688741721854,
2016,incumbents,35-40,four_digit_available,3010.0,0.9966887417218543,
2016,incumbents,35-40,three_digit_available,3017.0,0.9990066225165563,
2016,incumbents,35-40,scored_four_digit,3010.0,0.9966887417218543,
2016,incumbents,35-40,scored_three_digit,7.0,0.002317880794701987,
2016,incumbents,35-40,unscored,,,
2016,incumbents,35-40,scored_uniform3,3017.0,0.9990066225165563,
2016,incumbents,35-40,unscored_uniform3,,,
2016,incumbents,35-40,scored_mixed43,3017.0,0.9990066225165563,
2016,incumbents,35-40,unscored_mixed43,,,
2016,incumbents,35-40,scored_four_only,3010.0,0.9966887417218543,
2016,incumbents,35-40,unscored_four_only,10.0,0.0033112582781456954,
2016,incumbents,35-40,incumbents,3020.0,1.0,
2016,incumbents,41-49,resolved,3926.0,0.9992364469330618,
2016,incumbents,41-49,four_digit_available,3919.0,0.9974548231102062,
2016,incumbents,41-49,three_digit_available,3929.0,1.0,
2016,incumbents,41-49,scored_four_digit,3919.0,0.9974548231102062,
2016,incumbents,41-49,scored_three_digit,10.0,0.0025451768897938407,
2016,incumbents,41-49,unscored,0.0,0.0,
2016,incumbents,41-49,scored_uniform3,3929.0,1.0,
2016,incumbents,41-49,unscored_uniform3,0.0,0.0,
2016,incumbents,41-49,scored_mixed43,3929.0,1.0,
2016,incumbents,41-49,unscored_mixed43,0.0,0.0,
2016,incumbents,41-49,scored_four_only,3919.0,0.9974548231102062,
2016,incumbents,41-49,unscored_four_only,10.0,0.0025451768897938407,
2016,incumbents,41-49,incumbents,3929.0,1.0,
2016,incumbents,50+,resolved,7811.0,1.0,
2016,incumbents,50+,four_digit_available,7792.0,0.9975675329663295,
2016,incumbents,50+,three_digit_available,7809.0,0.999743950838561,
2016,incumbents,50+,scored_four_digit,7792.0,0.9975675329663295,
2016,incumbents,50+,scored_three_digit,17.0,0.0021764178722314684,
2016,incumbents,50+,unscored,,,
2016,incumbents,50+,scored_uniform3,7809.0,0.999743950838561,
2016,incumbents,50+,unscored_uniform3,,,
2016,incumbents,50+,scored_mixed43,7809.0,0.999743950838561,
2016,incumbents,50+,unscored_mixed43,,,
2016,incumbents,50+,scored_four_only,7792.0,0.9975675329663295,
2016,incumbents,50+,unscored_four_only,19.0,0.0024324670336704646,
2016,incumbents,50+,incumbents,7811.0,1.0,
2016,incumbents,total,resolved,17055.0,0.999765519667038,
2016,incumbents,total,four_digit_available,17018.0,0.9975965765871387,
2016,incumbents,total,three_digit_available,17052.0,0.9995896594173164,
2016,incumbents,total,scored_four_digit,17018.0,0.9975965765871387,
2016,incumbents,total,scored_three_digit,34.0,0.0019930828301776187,
2016,incumbents,total,unscored,7.0,0.0004103405826836274,
2016,incumbents,total,scored_uniform3,17052.0,0.9995896594173164,
2016,incumbents,total,unscored_uniform3,7.0,0.0004103405826836274,
2016,incumbents,total,scored_mixed43,17052.0,0.9995896594173164,
2016,incumbents,total,unscored_mixed43,7.0,0.0004103405826836274,
2016,incumbents,total,scored_four_only,17018.0,0.9975965765871387,
2016,incumbents,total,unscored_four_only,41.0,0.002403423412861246,
2016,incumbents,total,incumbents,17059.0,1.0,
2016,employers,total,resolved,11631.0,0.9997421351211965,
2016,employers,total,four_digit_available,11606.0,0.9975932611311673,
2016,employers,total,three_digit_available,11632.0,0.9998280900807976,
2016,employers,total,scored_uniform3,11632.0,0.9998280900807976,
2016,employers,total,scored_mixed43,11632.0,0.9998280900807976,
2016,employers,total,scored_four_only,11606.0,0.9975932611311673,
2016,employers,total,employers,11634.0,1.0,
2015,incumbents,31-34,resolved,151.0,0.993421052631579,
2015,incumbents,31-34,four_digit_available,151.0,0.993421052631579,
2015,incumbents,31-34,three_digit_available,152.0,1.0,
2015,incumbents,31-34,scored_four_digit,151.0,0.993421052631579,
2015,incumbents,31-34,scored_three_digit,,,
2015,incumbents,31-34,unscored,0.0,0.0,
2015,incumbents,31-34,scored_uniform3,152.0,1.0,
2015,incumbents,31-34,unscored_uniform3,0.0,0.0,
2015,incumbents,31-34,scored_mixed43,152.0,1.0,
2015,incumbents,31-34,unscored_mixed43,0.0,0.0,
2015,incumbents,31-34,scored_four_only,151.0,0.993421052631579,
2015,incumbents,31-34,unscored_four_only,,,
2015,incumbents,31-34,incumbents,152.0,1.0,
2015,incumbents,35-40,resolved,284.0,1.0,
2015,incumbents,35-40,four_digit_available,284.0,1.0,
2015,incumbents,35-40,three_digit_available,284.0,1.0,
2015,incumbents,35-40,scored_four_digit,284.0,1.0,
2015,incumbents,35-40,scored_three_digit,0.0,0.0,
2015,incumbents,35-40,unscored,0.0,0.0,
2015,incumbents,35-40,scored_uniform3,284.0,1.0,
2015,incumbents,35-40,unscored_uniform3,0.0,0.0,
2015,incumbents,35-40,scored_mixed43,284.0,1.0,
2015,incumbents,35-40,unscored_mixed43,0.0,0.0,
2015,incumbents,35-40,scored_four_only,284.0,1.0,
2015,incumbents,35-40,unscored_four_only,0.0,0.0,
2015,incumbents,35-40,incumbents,284.0,1.0,
2015,incumbents,41-49,resolved,412.0,1.0,
2015,incumbents,41-49,four_digit_available,412.0,1.0,
2015,incumbents,41-49,three_digit_available,412.0,1.0,
2015,incumbents,41-49,scored_four_digit,412.0,1.0,
2015,incumbents,41-49,scored_three_digit,0.0,0.0,
2015,incumbents,41-49,unscored,0.0,0.0,
2015,incumbents,41-49,scored_uniform3,412.0,1.0,
2015,incumbents,41-49,unscored_uniform3,0.0,0.0,
2015,incumbents,41-49,scored_mixed43,412.0,1.0,
2015,incumbents,41-49,unscored_mixed43,0.0,0.0,
2015,incumbents,41-49,scored_four_only,412.0,1.0,
2015,incumbents,41-49,unscored_four_only,0.0,0.0,
2015,incumbents,41-49,incumbents,412.0,1.0,
2015,incumbents,50+,resolved,1166.0,1.0,
2015,incumbents,50+,four_digit_available,1166.0,1.0,
2015,incumbents,50+,three_digit_available,1166.0,1.0,
2015,incumbents,50+,scored_four_digit,1166.0,1.0,
2015,incumbents,50+,scored_three_digit,0.0,0.0,
2015,incumbents,50+,unscored,0.0,0.0,
2015,incumbents,50+,scored_uniform3,1166.0,1.0,
2015,incumbents,50+,unscored_uniform3,0.0,0.0,
2015,incumbents,50+,scored_mixed43,1166.0,1.0,
2015,incumbents,50+,unscored_mixed43,0.0,0.0,
2015,incumbents,50+,scored_four_only,1166.0,1.0,
2015,incumbents,50+,unscored_four_only,0.0,0.0,
2015,incumbents,50+,incumbents,1166.0,1.0,
2015,incumbents,total,resolved,2013.0,0.9995034756703078,
2015,incumbents,total,four_digit_available,2013.0,0.9995034756703078,
2015,incumbents,total,three_digit_available,2014.0,1.0,
2015,incumbents,total,scored_four_digit,2013.0,0.9995034756703078,
2015,incumbents,total,scored_three_digit,,,
2015,incumbents,total,unscored,0.0,0.0,
2015,incumbents,total,scored_uniform3,2014.0,1.0,
2015,incumbents,total,unscored_uniform3,0.0,0.0,
2015,incumbents,total,scored_mixed43,2014.0,1.0,
2015,incumbents,total,unscored_mixed43,0.0,0.0,
2015,incumbents,total,scored_four_only,2013.0,0.9995034756703078,
2015,incumbents,total,unscored_four_only,,,
2015,incumbents,total,incumbents,2014.0,1.0,
2015,employers,total,resolved,1635.0,0.9993887530562348,
2015,employers,total,four_digit_available,1635.0,0.9993887530562348,
2015,employers,total,three_digit_available,1636.0,1.0,
2015,employers,total,scored_uniform3,1636.0,1.0,
2015,employers,total,scored_mixed43,1636.0,1.0,
2015,employers,total,scored_four_only,1635.0,0.9993887530562348,
2015,employers,total,employers,1636.0,1.0,
2020,incumbents,31-34,resolved,10048.0,1.0,
2020,incumbents,31-34,four_digit_available,10040.0,0.9992038216560509,
2020,incumbents,31-34,three_digit_available,10048.0,1.0,
2020,incumbents,31-34,scored_four_digit,10040.0,0.9992038216560509,
2020,incumbents,31-34,scored_three_digit,8.0,0.0007961783439490446,
2020,incumbents,31-34,unscored,0.0,0.0,
2020,incumbents,31-34,scored_uniform3,10048.0,1.0,
2020,incumbents,31-34,unscored_uniform3,0.0,0.0,
2020,incumbents,31-34,scored_mixed43,10048.0,1.0,
2020,incumbents,31-34,unscored_mixed43,0.0,0.0,
2020,incumbents,31-34,scored_four_only,10040.0,0.9992038216560509,
2020,incumbents,31-34,unscored_four_only,8.0,0.0007961783439490446,
2020,incumbents,31-34,incumbents,10048.0,1.0,
2020,incumbents,35-40,resolved,11946.0,1.0,
2020,incumbents,35-40,four_digit_available,11930.0,0.9986606395446175,
2020,incumbents,35-40,three_digit_available,11946.0,1.0,
2020,incumbents,35-40,scored_four_digit,11930.0,0.9986606395446175,
2020,incumbents,35-40,scored_three_digit,16.0,0.0013393604553825547,
2020,incumbents,35-40,unscored,0.0,0.0,
