year_month,age_group,exposure_quartile,n_emp,share_of_coded
2019-12,22-25,3,37821,0.11282777960084724
2019-12,22-25,4,48103,0.14350108886966378
2019-12,26-30,1,128437,0.23054113094158973
2019-12,26-30,2,202094,0.3627535625755011
2019-12,26-30,3,86769,0.15574813636779744
2019-12,26-30,4,139811,0.2509571701151117
2019-12,31-34,1,90031,0.20671073446587118
2019-12,31-34,2,141488,0.32485575410810924
2019-12,31-34,3,78499,0.18023331902163056
2019-12,31-34,4,125523,0.28820019240438904
2019-12,35-40,1,119820,0.19087581124609312
2019-12,35-40,2,187152,0.29813712090075795
2019-12,35-40,3,125654,0.2001694974655031
2019-12,35-40,4,195112,0.3108175703876458
2019-12,41-49,1,187404,0.18581914848259198
2019-12,41-49,2,282348,0.27996021928967835
2019-12,41-49,3,218756,0.21690600865220533
2019-12,41-49,4,320021,0.31731462357552437
2019-12,50+,1,379805,0.21523708920320822
2019-12,50+,2,519927,0.29464481530826725
2019-12,50+,3,380116,0.21541333420983583
2019-12,50+,4,484741,0.2747047612786887
2020-01,22-25,1,88339,0.2808344380545462
2020-01,22-25,2,149715,0.4759520471517267
2020-01,22-25,3,33840,0.1075791822837687
2020-01,22-25,4,42665,0.13563433250995838
2020-01,26-30,1,131815,0.23100716776782743
2020-01,26-30,2,208565,0.36551234643626995
2020-01,26-30,3,87823,0.1539107271165945
2020-01,26-30,4,142407,0.2495697586793081
2020-01,31-34,1,95732,0.20809585295127794
2020-01,31-34,2,149084,0.32406888126633016
2020-01,31-34,3,82394,0.17910259587251487
2020-01,31-34,4,132828,0.288732669909877
2020-01,35-40,1,126078,0.1954915897588568
2020-01,35-40,2,191633,0.2971385953160663
2020-01,35-40,3,127883,0.19829035179120771
2020-01,35-40,4,199334,0.3090794631338692
2020-01,41-49,1,188736,0.1861123738656164
2020-01,41-49,2,281308,0.2773975270610208
2020-01,41-49,3,219681,0.21662720627316717
2020-01,41-49,4,324372,0.31986289280019564
2020-01,50+,1,398087,0.2181911956621231
2020-01,50+,2,535437,0.2934726309368058
2020-01,50+,3,388999,0.213210069460621
2020-01,50+,4,501964,0.2751261039404501
2020-02,22-25,1,85370,0.27989154489510215
2020-02,22-25,2,145058,0.47558284783171756
2020-02,22-25,3,33012,0.10823216211874326
2020-02,22-25,4,41571,0.13629344515443706
2020-02,26-30,1,129763,0.22986960303415194
2020-02,26-30,2,205821,0.36460309615292635
2020-02,26-30,3,87240,0.15454192773517422
2020-02,26-30,4,141683,0.2509853730777475
2020-02,31-34,1,94933,0.2075596280530066
2020-02,31-34,2,147926,0.32342247205259556
2020-02,31-34,3,82004,0.17929191892027802
2020-02,31-34,4,132514,0.28972598097411983
2020-02,35-40,1,125310,0.19499708227971213
2020-02,35-40,2,190885,0.29703948648122935
2020-02,35-40,3,127369,0.198201128185178
2020-02,35-40,4,199061,0.3097623030538806
2020-02,41-49,1,187902,0.18604250516091664
2020-02,41-49,2,280251,0.27747761127530335
2020-02,41-49,3,218719,0.21655453739869998
2020-02,41-49,4,323123,0.31992534616508
2020-02,50+,1,395673,0.21812688055622015
2020-02,50+,2,532534,0.2935757057219627
2020-02,50+,3,386443,0.21303855987845363
2020-02,50+,4,499308,0.2752588538433635
2020-03,22-25,1,86332,0.27998417362313766
2020-03,22-25,2,146516,0.47516750663215995
2020-03,22-25,3,33604,0.10898146886938699
2020-03,22-25,4,41894,0.1358668508753154
2020-03,26-30,1,131334,0.23103838325554885
2020-03,26-30,2,207052,0.3642389581511863
2020-03,26-30,3,87864,0.1545674121428232
2020-03,26-30,4,142201,0.2501552464504416
2020-03,31-34,1,95743,0.20840108224118828
2020-03,31-34,2,148494,0.32322269310887497
2020-03,31-34,3,82444,0.17945352479337945
2020-03,31-34,4,132736,0.28892269985655733
2020-03,35-40,1,126332,0.1956578975898203
2020-03,35-40,2,191803,0.2970567372591292
2020-03,35-40,3,127837,0.19798878078546892
2020-03,35-40,4,199706,0.3092965843655816
2020-03,41-49,1,189664,0.18665622164442178
2020-03,41-49,2,281599,0.2771332744160596
2020-03,41-49,3,219826,0.21633989886961502
2020-03,41-49,4,325025,0.31987060506990356
2020-03,50+,1,397381,0.2177308446322452
2020-03,50+,2,534644,0.29293924394362614
2020-03,50+,3,389211,0.2132543824947866
2020-03,50+,4,503866,0.276075528929342
2020-04,22-25,1,86520,0.28157463094587204
2020-04,22-25,2,146108,0.4755005337290739
2020-04,22-25,3,32902,0.1070777682314041
2020-04,22-25,4,41742,0.13584706709364994
2020-04,26-30,1,130931,0.23171085650778145
2020-04,26-30,2,205632,0.3639105089353027
2020-04,26-30,3,86987,0.15394239924114522
2020-04,26-30,4,141512,0.25043623531577064
2020-04,31-34,1,95629,0.20898402500054633
2020-04,31-34,2,147692,0.3227605498371905
2020-04,31-34,3,81953,0.1790970082388164
2020-04,31-34,4,132316,0.28915841692344674
2020-04,35-40,1,125797,0.1954753676516291
2020-04,35-40,2,190872,0.2965951046082319
2020-04,35-40,3,127444,0.19803463321855228
2020-04,35-40,4,199431,0.3098948945215867
2020-04,41-49,1,188707,0.18642755034196876
2020-04,41-49,2,280012,0.27662964927827455
2020-04,41-49,3,219201,0.2165532039749977
2020-04,41-49,4,324307,0.320389596404759
2020-04,50+,1,395231,0.21806726560573197
2020-04,50+,2,530016,0.2924343987371629
2020-04,50+,3,386673,0.2133454202569262
2020-04,50+,4,500507,0.2761529154001789
2020-05,22-25,1,83076,0.2801520204762274
2020-05,22-25,2,141721,0.47791690131820774
2020-05,22-25,3,31415,0.10593884784126202
2020-05,22-25,4,40327,0.13599223036430283
2020-05,26-30,1,127562,0.23012754595803792
2020-05,26-30,2,201393,0.363321967851924
2020-05,26-30,3,85350,0.15397521242625967
2020-05,26-30,4,140005,0.2525752737637784
2020-05,31-34,1,93322,0.20692927702695213
2020-05,31-34,2,145317,0.3222213599121922
2020-05,31-34,3,80811,0.17918777786400877
2020-05,31-34,4,131535,0.29166158519684693
2020-05,35-40,1,123335,0.1940337016252987
2020-05,35-40,2,187993,0.2957552817095292
2020-05,35-40,3,126021,0.1982593838936374
2020-05,35-40,4,198288,0.3119516327715347
2020-05,41-49,1,185226,0.1850086148775189
2020-05,41-49,2,276247,0.2759227907209029
2020-05,41-49,3,217053,0.21679826204210054
2020-05,41-49,4,322649,0.3222703323594776
2020-05,50+,1,387095,0.2170620488095919
2020-05,50+,2,518886,0.2909633507501102
2020-05,50+,3,381341,0.21383551519678265
2020-05,50+,4,496016,0.27813908524351527
2020-06,22-25,1,87002,0.2793171975176656
2020-06,22-25,2,147764,0.47439169644376383
2020-06,22-25,3,33769,0.10841431740619813
2020-06,22-25,4,42946,0.13787678863237243
2020-06,26-30,1,130520,0.2301668056861006
2020-06,26-30,2,206214,0.36365015068766127
2020-06,26-30,3,87670,0.15460254255669964
2020-06,26-30,4,142663,0.2515805010695385
2020-06,31-34,1,94902,0.20715397393276477
