year_month,age_group,n_emp,source
2023-01,50+,2050992,headline
2023-02,22-25,347234,headline
2023-02,26-30,552080,headline
2023-02,31-34,537660,headline
2023-02,35-40,740151,headline
2023-02,41-49,1062901,headline
2023-02,50+,2036851,headline
2023-03,22-25,351265,headline
2023-03,26-30,556011,headline
2023-03,31-34,541079,headline
2023-03,35-40,744576,headline
2023-03,41-49,1069992,headline
2023-03,50+,2052289,headline
2023-04,22-25,359651,headline
2023-04,26-30,560007,headline
2023-04,31-34,543074,headline
2023-04,35-40,746547,headline
2023-04,41-49,1071657,headline
2023-04,50+,2055340,headline
2023-05,22-25,365579,headline
2023-05,26-30,567590,headline
2023-05,31-34,549746,headline
2023-05,35-40,754032,headline
2023-05,41-49,1082487,headline
2023-05,50+,2075407,headline
2023-06,22-25,393245,headline
2023-06,26-30,585230,headline
2023-06,31-34,558801,headline
2023-06,35-40,763235,headline
2023-06,41-49,1089894,headline
2023-06,50+,2086586,headline
2023-07,22-25,410083,headline
2023-07,26-30,580989,headline
2023-07,31-34,549948,headline
2023-07,35-40,749722,headline
2023-07,41-49,1070563,headline
2023-07,50+,2035641,headline
2023-08,22-25,401658,headline
2023-08,26-30,574621,headline
2023-08,31-34,543947,headline
2023-08,35-40,741428,headline
2023-08,41-49,1057647,headline
2023-08,50+,1993132,headline
2023-09,22-25,405110,headline
2023-09,26-30,583321,headline
2023-09,31-34,552777,headline
2023-09,35-40,753972,headline
2023-09,41-49,1074783,headline
2023-09,50+,2029266,headline
2023-10,22-25,368951,headline
2023-10,26-30,568384,headline
2023-10,31-34,547446,headline
2023-10,35-40,751036,headline
2023-10,41-49,1075097,headline
2023-10,50+,2037453,headline
2023-11,22-25,362326,headline
2023-11,26-30,563521,headline
2023-11,31-34,544092,headline
2023-11,35-40,748232,headline
2023-11,41-49,1071486,headline
2023-11,50+,2036058,headline
2023-12,22-25,365650,headline
2023-12,26-30,566812,headline
2023-12,31-34,547803,headline
2023-12,35-40,753911,headline
2023-12,41-49,1084021,headline
2023-12,50+,2071122,headline
2024-01,22-25,353225,rebuilt
2024-01,26-30,533080,rebuilt
2024-01,31-34,534778,rebuilt
2024-01,35-40,760041,rebuilt
2024-01,41-49,1056188,rebuilt
2024-01,50+,2068841,rebuilt
2024-02,22-25,340011,rebuilt
2024-02,26-30,523773,rebuilt
2024-02,31-34,530109,rebuilt
2024-02,35-40,755159,rebuilt
2024-02,41-49,1048726,rebuilt
2024-02,50+,2053400,rebuilt
