age_group,year_month,halfyear,share_q1,share_q2,share_q3,share_q4,n_emp_total_age
35-40,2019-12,2019H2,0.20861164068464733,0.2934080719506689,0.1958138774432673,0.30216640992141647,666679
35-40,2020-01,2020H1,0.20474834769090666,0.29257560914285363,0.19839667376496506,0.30427936940127465,652269
35-40,2020-02,2020H1,0.20373857712054236,0.29300057486074493,0.1986746181445569,0.3045862298741558,655811
35-40,2020-03,2020H1,0.20464795676149436,0.29275767203496084,0.19861014741506286,0.3039842237884819,657192
35-40,2020-04,2020H1,0.2049076101075135,0.29259711079343037,0.19770814121836464,0.30478713788069145,658243
35-40,2020-05,2020H1,0.20295443303213437,0.29197608433161176,0.1971352814484587,0.30793420118779513,650954
35-40,2020-06,2020H1,0.20285221028060108,0.29209472110100665,0.1979860672080922,0.3070670014103001,658016
35-40,2020-07,2020H2,0.20503631557493485,0.2946085576293588,0.196712452289487,0.30364267450621935,647656
35-40,2020-08,2020H2,0.2046388080044607,0.2934855337339694,0.19764884455733844,0.30422681370423144,645640
35-40,2020-09,2020H2,0.2048001100311755,0.29375573079039063,0.1973118772541109,0.304132281924323,654360
35-40,2020-10,2020H2,0.20514764552844533,0.2927841859242252,0.19767136144493597,0.3043968071023935,654202
35-40,2020-11,2020H2,0.20485381176295084,0.292514997861254,0.1982092378605233,0.3044219525152719,656927
35-40,2020-12,2020H2,0.20285384936256357,0.2943660097689919,0.19722329786454681,0.30555684300389774,668851
35-40,2021-01,2021H1,0.19988599335988352,0.2930417433772156,0.1989862652811265,0.30808599798177433,649085
35-40,2021-02,2021H1,0.19885850273046637,0.2939807228768059,0.19865023384308164,0.3085105405496461,653002
