inr,expband,fresh,n,ws,wh
221a,6-10,1,508.0,32459.060367999995,61.0
221a,na,0,19.0,1182.360019,0.0
221b,0-2,1,93.0,4914.12,0.0
221b,11-20,0,37.0,2069.630018,0.0
221b,11-20,1,116.0,6910.7500900000005,0.0
221b,21+,0,282.0,14977.000055,19.0
221b,21+,1,358.0,18358.460031,18.0
221b,3-5,1,58.0,3159.22001,0.0
221b,6-10,0,20.0,1179.650013,0.0
221b,6-10,1,66.0,3865.44004,0.0
221x,0-2,0,114.0,4953.7600195,16.0
221x,0-2,1,127.0,5549.799992,21.0
221x,11-20,0,75.0,5094.269995,32.0
221x,11-20,1,271.0,17149.50994,101.0
221x,21+,0,132.0,8164.3001,44.0
221x,21+,1,126.0,8690.960069,60.0
221x,3-5,1,14.0,769.260009,0.0
221x,6-10,0,11.0,844.0699870000001,6.0
221x,6-10,1,63.0,4090.449967,25.0
221x,na,0,50.0,2852.100047,0.0
221x,na,1,15.0,843.35001,0.0
222a,0-2,1,48.0,4207.880067,48.0
222a,11-20,0,30.0,2690.850078,24.0
222a,11-20,1,173.0,15223.180092999999,163.0
222a,21+,0,27.0,2488.820067,27.0
222a,21+,1,28.0,2474.520023,28.0
222a,3-5,0,19.0,1711.520021,19.0
222a,3-5,1,69.0,5848.900041,64.0
222a,6-10,0,30.0,2669.080008,30.0
222a,6-10,1,107.0,9300.409974,97.0
222b,0-2,0,44.0,2681.1500180000003,23.0
222b,0-2,1,93.0,7230.270043,67.0
222b,11-20,0,294.0,18330.9601457,111.0
222b,11-20,1,953.0,66598.0700427,524.0
222b,21+,0,495.0,35813.7402714,256.0
222b,21+,1,774.0,56037.5102074,456.0
222b,3-5,0,32.0,2189.850012,17.0
222b,3-5,1,144.0,11384.430018000001,106.0
222b,6-10,0,211.0,13222.290131900001,82.0
222b,6-10,1,462.0,31709.7200475,214.0
222c,11-20,1,89.0,7217.64998,66.0
222c,21+,0,32.0,2599.290012,21.0
222c,21+,1,62.0,4743.340027,51.0
222c,6-10,1,45.0,3710.7699700000003,39.0
222d,11-20,0,16.0,1293.359996,10.0
222d,11-20,1,117.0,9327.849971,87.0
222d,21+,0,55.0,4474.890034,44.0
222d,21+,1,136.0,10363.240076,94.0
222d,6-10,1,37.0,3198.009993,37.0
222e,11-20,1,40.0,3156.999958,35.0
222e,21+,1,18.0,1529.3400150000002,18.0
222e,3-5,1,16.0,1200.6999799999999,9.0
222e,6-10,1,20.0,1606.39996,20.0
222f,11-20,1,20.0,1659.599995,20.0
222f,21+,1,15.0,1189.74999,15.0
222h,11-20,0,13.0,1064.170025,7.0
222h,11-20,1,78.0,5268.100005,31.0
222h,21+,1,57.0,3480.2999630000004,19.0
222h,6-10,0,27.0,1728.9700065,14.0
222h,6-10,1,52.0,3458.439974,24.0
222k,0-2,0,106.0,7080.930225,58.0
222k,0-2,1,146.0,9360.250302,83.0
222k,11-20,0,14.0,1233.860032,14.0
222k,11-20,1,60.0,5016.7001549999995,55.0
222k,21+,0,29.0,2296.190048,23.0
