grp,expband,fresh,n,ws,wh
43Z,11-20,1,1527.0,74662.87008996,432.0
43Z,21+,0,2414.0,145970.30051432,1005.0
43Z,21+,1,7039.0,416228.61057088,2894.0
43Z,3-5,1,116.0,6527.96998,34.0
43Z,6-10,0,79.0,5300.9200278,39.0
43Z,6-10,1,235.0,11161.1799502,53.0
43Z,na,0,1354.0,39702.72018442,74.0
43Z,na,1,3297.0,101661.94020936001,207.0
44P,0-2,0,5030.0,242202.49253808,1184.0
44P,0-2,1,7680.0,449870.98256704,2912.0
44P,11-20,0,3297.0,267788.9621617,2344.0
44P,11-20,1,7399.0,546624.69234996,4487.0
44P,21+,0,2251.0,186522.431153,1659.0
44P,21+,1,5139.0,397532.0314879,3422.0
44P,3-5,0,1112.0,86330.0209247,757.0
44P,3-5,1,2448.0,176013.420997,1423.0
44P,6-10,0,2143.0,173217.1214862,1549.0
44P,6-10,1,4059.0,296994.81141090003,2433.0
44P,na,0,10.0,989.40002,10.0
44P,na,1,39.0,1768.72002,10.0
45B,0-2,0,402.0,22852.6400778,142.0
45B,0-2,1,1977.0,138057.8401,1021.0
45B,11-20,0,995.0,75726.7996818,620.0
45B,11-20,1,6039.0,437873.6182025,3281.0
45B,21+,0,820.0,65523.979771,583.0
45B,21+,1,3871.0,287529.2594421,2298.0
45B,3-5,0,323.0,24176.99996,200.0
45B,3-5,1,2041.0,149968.5502487,1185.0
45B,6-10,0,580.0,42579.4898885,337.0
45B,6-10,1,3461.0,251541.60912449998,1908.0
45B,na,1,31.0,2407.669982,22.0
45DH,0-2,0,1472.0,107170.541334,888.0
45DH,0-2,1,3591.0,315972.38264880003,3042.0
45DH,11-20,0,2779.0,251088.4723511,2416.0
45DH,11-20,1,6757.0,585346.6626871,5560.0
45DH,21+,0,2517.0,229029.741962,2193.0
45DH,21+,1,6768.0,601406.5536211,5856.0
45DH,3-5,0,1712.0,151057.1815953,1441.0
45DH,3-5,1,3456.0,309807.7924807,3025.0
45DH,6-10,0,2417.0,222346.49245760002,2180.0
45DH,6-10,1,4325.0,383642.452528,3725.0
45DH,na,0,1911.0,180322.9218725,1796.0
45DH,na,1,7134.0,654235.7958208,6397.0
45DL,0-2,0,2994.0,169078.49144478,1067.0
45DL,0-2,1,3920.0,281679.30224488,2297.0
45DL,11-20,0,1257.0,111572.63073880001,1085.0
45DL,11-20,1,2314.0,187810.5505058,1735.0
45DL,21+,0,1761.0,147616.5510276,1338.0
45DL,21+,1,4327.0,353047.5816675,3197.0
45DL,3-5,0,1069.0,92918.9907518,862.0
45DL,3-5,1,1599.0,138183.720848,1298.0
45DL,6-10,0,1405.0,129298.29118,1255.0
45DL,6-10,1,2167.0,184185.8909844,1730.0
45DL,na,0,675.0,42015.370233400005,321.0
45DL,na,1,1526.0,86659.400381,637.0
45FM,0-2,0,153.0,12459.440176799999,123.0
45FM,0-2,1,894.0,79719.7308886,804.0
45FM,11-20,0,375.0,33383.790353000004,308.0
45FM,11-20,1,2016.0,174799.2802355,1686.0
45FM,21+,0,623.0,53676.010438000005,505.0
45FM,21+,1,2593.0,212333.8107411,1976.0
45FM,3-5,0,171.0,15970.500229000001,166.0
45FM,3-5,1,835.0,75064.070515,750.0
45FM,6-10,0,248.0,22776.9902455,223.0
45FM,6-10,1,1064.0,93985.79032500001,911.0
45FM,na,1,16.0,1516.2599839999998,16.0
45G,0-2,0,37.0,2585.5200019999997,23.0
45G,0-2,1,286.0,22628.059916,205.0
45G,11-20,0,71.0,6059.519947,66.0
45G,11-20,1,949.0,74804.219561,654.0
45G,21+,0,183.0,15464.339875,160.0
45G,21+,1,954.0,76130.35985000001,695.0
45G,3-5,0,52.0,4276.939958999999,47.0
45G,3-5,1,387.0,31450.739928,294.0
45G,6-10,0,115.0,9369.369921,94.0
45G,6-10,1,630.0,52449.7996,507.0
45K,0-2,0,32.0,2621.1400249999997,25.0
45K,0-2,1,318.0,25342.130162,232.0
45K,11-20,0,235.0,18415.309994,148.0
45K,11-20,1,1600.0,122051.13972600001,979.0
45K,21+,0,568.0,45244.510073,396.0
45K,21+,1,2258.0,170232.780068,1337.0
45K,3-5,0,58.0,4602.860027000001,42.0
45K,3-5,1,326.0,26828.580084,250.0
45K,6-10,0,66.0,5351.039986,45.0
45K,6-10,1,545.0,42037.999986999996,344.0
45Q,0-2,0,17.0,1157.1300294999999,12.0
45Q,0-2,1,641.0,53451.2204868,531.0
45Q,11-20,0,809.0,63277.3903915,575.0
45Q,11-20,1,2758.0,210532.6699847,1848.0
45Q,21+,0,550.0,40380.9802111,341.0
45Q,21+,1,1776.0,114086.5701834,888.0
45Q,3-5,0,66.0,5956.66006,60.0
45Q,3-5,1,1090.0,92377.4306215,929.0
45Q,6-10,0,323.0,28022.7301699,270.0
45Q,6-10,1,1600.0,128147.9299107,1170.0
45Q,na,0,423.0,25411.5501741,172.0
45Q,na,1,1531.0,93676.7399118,700.0
45X,11-20,0,91.0,3505.4500471,12.0
45X,11-20,1,433.0,16933.8700039,59.0
45X,21+,0,106.0,4407.00003,19.0
45X,21+,1,392.0,15480.579957400001,69.0
45X,6-10,1,63.0,3006.8099924,15.0
45X,na,0,306.0,10029.4000166,21.0
45X,na,1,914.0,33029.2801183,101.0
53A,21+,0,7949.0,438461.39147863,2176.0
53A,21+,1,14079.0,752476.64142123,4037.0
53A,na,0,959.0,50756.4100934,234.0
53A,na,1,2897.0,115043.86010058,260.0
53B,0-2,0,6114.0,185160.95964017,261.0
53B,0-2,1,13117.0,415239.11999473,804.0
53B,11-20,0,14131.0,439314.90377593,534.0
53B,11-20,1,20890.0,742153.95276682,1256.0
53B,21+,0,23993.0,757999.72307315,1122.0
53B,21+,1,38796.0,1323468.3087772601,2376.0
53B,3-5,0,5946.0,171616.53805487,206.0
53B,3-5,1,10118.0,333854.79793572,539.0
53B,6-10,0,9780.0,285990.95649674,348.0
53B,6-10,1,15070.0,505867.05616722,843.0
53B,na,0,1026.0,22715.65973586,0.0
53B,na,1,1545.0,42643.61973452,45.0
53E,0-2,0,2398.0,76564.78978245,86.0
53E,0-2,1,8596.0,280145.45742372,433.0
53E,11-20,0,11854.0,500972.81059801,1835.0
53E,11-20,1,25477.0,1100869.31881209,4370.0
53E,21+,0,24152.0,1110923.09119593,4144.0
53E,21+,1,52102.0,2406534.46859135,10236.0
53E,3-5,0,2962.0,97225.39929289,136.0
53E,3-5,1,7081.0,243394.8878777,507.0
53E,6-10,0,5161.0,185453.229235,414.0
53E,6-10,1,11694.0,437229.20753366,1308.0
53E,na,0,1193.0,41973.94010543,116.0
53E,na,1,2614.0,92558.63017376,287.0
53F,0-2,0,1304.0,29062.19062678,15.0
53F,0-2,1,4603.0,113001.74212489,107.0
53F,11-20,0,7656.0,213272.952986,441.0
53F,11-20,1,14803.0,465071.33502435,1275.0
53F,21+,0,17580.0,582540.54549946,1439.0
53F,21+,1,35970.0,1231444.20898721,3696.0
53F,3-5,0,1856.0,41932.96094811,26.0
53F,3-5,1,3895.0,96025.1718742,138.0
53F,6-10,0,3399.0,79468.12154456,101.0
53F,6-10,1,6280.0,168189.10260294,331.0
53F,na,0,786.0,17429.07013784,5.0
53F,na,1,1338.0,31936.86023284,14.0
