year_month,age_group,vintage,n_emp,share
2024-08,50+,2021,571,0.0002844085820663205
2024-08,50+,2022,675,0.0003362097949120251
2024-08,50+,2023,2006429,0.9993793816230216
2024-09,22-25,2021,200,0.0005046720010497178
2024-09,22-25,2022,344,0.0008680358418055146
2024-09,22-25,2023,395753,0.9986272921571447
2024-09,26-30,2021,250,0.00045350733502763673
2024-09,26-30,2022,475,0.0008616639365525098
2024-09,26-30,2023,550534,0.9986848287284199
2024-09,31-34,2021,243,0.0004493093948190744
2024-09,31-34,2022,390,0.000721113843536786
2024-09,31-34,2023,540197,0.9988295767616442
2024-09,35-40,2021,276,0.00036057268348381146
2024-09,35-40,2022,471,0.0006153251229017217
2024-09,35-40,2023,764702,0.9990241021936145
2024-09,41-49,2021,346,0.0003272294635139148
2024-09,41-49,2022,526,0.0004974644445327144
2024-09,41-49,2023,1056490,0.9991753060919534
2024-09,50+,2021,569,0.0002787477611998793
2024-09,50+,2022,666,0.00032626715107050895
2024-09,50+,2023,2040037,0.9993949850877296
2024-10,22-25,2021,142,0.00039975001548327524
2024-10,22-25,2022,289,0.0008135757357370883
2024-10,22-25,2023,354791,0.9987866742487796
2024-10,26-30,2021,259,0.0004843747077855286
2024-10,26-30,2022,486,0.0009089038918292158
2024-10,26-30,2023,533965,0.9986067214003853
2024-10,31-34,2021,250,0.0004676760987582264
2024-10,31-34,2022,392,0.000733316122852899
2024-10,31-34,2023,533916,0.9987990077783889
2024-10,35-40,2021,291,0.00038220325069775077
2024-10,35-40,2022,477,0.0006264981119684781
2024-10,35-40,2023,760607,0.9989912986373338
2024-10,41-49,2021,350,0.0003311389856550591
2024-10,41-49,2022,509,0.00048157069628121456
2024-10,41-49,2023,1056099,0.9991872903180637
2024-10,50+,2021,581,0.00028347782895991934
2024-10,50+,2022,649,0.000316655956962113
2024-10,50+,2023,2048313,0.999399866214078
2024-11,22-25,2021,134,0.0003818730015787884
2024-11,22-25,2022,301,0.0008577893542926515
2024-11,22-25,2023,350467,0.9987603376441285
2024-11,26-30,2021,283,0.0005335917702425486
2024-11,26-30,2022,508,0.0009578255098346808
2024-11,26-30,2023,529577,0.9985085827199228
2024-11,31-34,2021,262,0.000493263749256339
2024-11,31-34,2022,417,0.0007850800894652418
2024-11,31-34,2023,530477,0.9987216561612784
2024-11,35-40,2021,288,0.0003799617663472613
2024-11,35-40,2022,474,0.0006253537404465342
2024-11,35-40,2023,757209,0.9989946844932062
2024-11,41-49,2021,355,0.00033684090671879004
2024-11,41-49,2022,500,0.00047442381227998597
2024-11,41-49,2023,1053055,0.9991887352810013
2024-11,50+,2021,583,0.00028505532664749024
2024-11,50+,2022,629,0.0003075468275493505
2024-11,50+,2023,2044005,0.9994073978458031
2024-12,22-25,2021,142,0.0004007495710286282
2024-12,22-25,2022,301,0.0008494762033775851
2024-12,22-25,2023,353893,0.9987497742255937
2024-12,26-30,2021,315,0.0005911618488539906
2024-12,26-30,2022,512,0.0009608725924229941
2024-12,26-30,2023,532022,0.9984479655587231
